,CPI,BPP,NASDAQ
7/22/09,98.57322,98.6695,1926.38
7/23/09,98.57322,98.67496,1973.6
7/24/09,98.57322,98.66566,1965.96
7/25/09,98.57322,98.67287,#N/A
7/26/09,98.57322,98.67004,#N/A
7/27/09,98.57322,98.68188,1967.89
7/28/09,98.57322,98.71506,1975.51
7/29/09,98.57322,98.72127,1967.76
7/30/09,98.57322,98.72379,1984.3
7/31/09,98.57322,98.73312,1978.5
8/1/09,98.41692,98.73064,#N/A
8/2/09,98.41692,98.73682,#N/A
8/3/09,98.41692,98.72584,2008.61
8/4/09,98.41692,98.73047,2011.31
8/5/09,98.41692,98.73293,1993.05
8/6/09,98.41692,98.72432,1973.16
8/7/09,98.41692,98.71436,2000.25
8/8/09,98.41692,98.70654,#N/A
8/9/09,98.41692,98.71333,#N/A
8/10/09,98.41692,98.71862,1992.24
8/11/09,98.41692,98.72172,1969.73
8/12/09,98.41692,98.86166,1998.72
8/13/09,98.41692,98.7179,2009.35
8/14/09,98.41692,98.68353,1985.52
8/15/09,98.41692,98.68155,#N/A
8/16/09,98.41692,98.69081,#N/A
8/17/09,98.41692,98.67834,1930.84
8/18/09,98.41692,98.66391,1955.92
8/19/09,98.41692,98.69734,1969.24
8/20/09,98.41692,98.69308,1989.22
8/21/09,98.41692,98.73009,2020.9
8/22/09,98.41692,98.7309,#N/A
8/23/09,98.41692,98.73331,#N/A
8/24/09,98.41692,98.73058,2017.98
8/25/09,98.41692,98.72849,2024.23
8/26/09,98.41692,98.71735,2024.43
8/27/09,98.41692,98.70879,2027.73
8/28/09,98.41692,98.70853,2028.77
8/29/09,98.41692,98.71304,#N/A
8/30/09,98.41692,98.71157,#N/A
8/31/09,98.41692,98.70983,2009.06
9/1/09,98.63766,98.70956,1968.89
9/2/09,98.63766,98.75359,1967.07
9/3/09,98.63766,98.7459,1983.2
9/4/09,98.63766,98.74223,2018.78
9/5/09,98.63766,98.7451,#N/A
9/6/09,98.63766,98.74612,#N/A
9/7/09,98.63766,98.74413,#N/A
9/8/09,98.63766,98.74253,2037.77
9/9/09,98.63766,98.77301,2060.39
9/10/09,98.63766,98.77666,2084.02
9/11/09,98.63766,98.76955,2080.9
9/12/09,98.63766,98.77318,#N/A
9/13/09,98.63766,98.76792,#N/A
9/14/09,98.63766,98.77113,2091.78
9/15/09,98.63766,98.77111,2102.64
9/16/09,98.63766,98.82597,2133.15
9/17/09,98.63766,98.81086,2126.75
9/18/09,98.63766,98.80164,2132.86
9/19/09,98.63766,98.79594,#N/A
9/20/09,98.63766,98.7922,#N/A
9/21/09,98.63766,98.79319,2138.04
9/22/09,98.63766,98.78404,2146.3
9/23/09,98.63766,98.79948,2131.42
9/24/09,98.63766,98.81166,2107.61
9/25/09,98.63766,98.80354,2090.92
9/26/09,98.63766,98.78975,#N/A
9/27/09,98.63766,98.76953,#N/A
9/28/09,98.63766,98.74839,2130.74
9/29/09,98.63766,98.72729,2124.04
9/30/09,98.63766,98.66252,2122.42
10/1/09,98.69936,98.64977,2057.48
10/2/09,98.69936,98.62918,2048.11
10/3/09,98.69936,98.61564,#N/A
10/4/09,98.69936,98.60403,#N/A
10/5/09,98.69936,98.59092,2068.15
10/6/09,98.69936,98.59338,2103.57
10/7/09,98.69936,98.62297,2110.33
10/8/09,98.69936,98.63743,2123.93
10/9/09,98.69936,98.64687,2139.28
10/10/09,98.69936,98.63193,#N/A
10/11/09,98.69936,98.6386,#N/A
10/12/09,98.69936,98.65279,2139.14
10/13/09,98.69936,98.64853,2139.89
10/14/09,98.69936,98.70409,2172.23
10/15/09,98.69936,98.71604,2173.29
10/16/09,98.69936,98.73522,2156.8
10/17/09,98.69936,98.74787,#N/A
10/18/09,98.69936,98.81283,#N/A
10/19/09,98.69936,98.8776,2176.32
10/20/09,98.69936,98.91367,2163.47
10/21/09,98.69936,98.89815,2150.73
10/22/09,98.69936,98.93497,2165.29
10/23/09,98.69936,98.92791,2154.47
10/24/09,98.69936,99.00906,#N/A
10/25/09,98.69936,99.0117,#N/A
10/26/09,98.69936,99.09026,2141.85
10/27/09,98.69936,99.10076,2116.09
10/28/09,98.69936,99.17374,2059.61
10/29/09,98.69936,99.18589,2097.55
10/30/09,98.69936,99.20331,2045.11
10/31/09,98.69936,99.21094,#N/A
11/1/09,98.79442,99.20516,#N/A
11/2/09,98.79442,99.20903,2049.2
11/3/09,98.79442,99.20525,2057.32
11/4/09,98.79442,99.20686,2055.52
11/5/09,98.79442,99.20123,2105.32
11/6/09,98.79442,99.18417,2112.44
11/7/09,98.79442,99.1832,#N/A
11/8/09,98.79442,99.18059,#N/A
11/9/09,98.79442,99.14602,2154.06
11/10/09,98.79442,99.13067,2151.08
11/11/09,98.79442,99.07793,2166.9
11/12/09,98.79442,99.08065,2149.02
11/13/09,98.79442,99.07841,2167.88
11/14/09,98.79442,99.04018,#N/A
11/15/09,98.79442,99.0317,#N/A
11/16/09,98.79442,99.0183,2197.85
11/17/09,98.79442,99.00664,2203.78
11/18/09,98.79442,99.05564,2193.14
11/19/09,98.79442,99.06429,2156.82
11/20/09,98.79442,99.07397,2146.04
11/21/09,98.79442,99.09012,#N/A
11/22/09,98.79442,99.09164,#N/A
11/23/09,98.79442,99.08302,2176.01
11/24/09,98.79442,99.07124,2169.18
11/25/09,98.79442,99.07697,2176.05
11/26/09,98.79442,99.07805,#N/A
11/27/09,98.79442,99.05978,2138.44
11/28/09,98.79442,99.05475,#N/A
11/29/09,98.79442,99.02042,#N/A
11/30/09,98.79442,99.05318,2144.6
12/1/09,98.86433,99.04839,2175.81
12/2/09,98.86433,99.0848,2185.03
12/3/09,98.86433,99.09013,2173.14
12/4/09,98.86433,99.10938,2194.35
12/5/09,98.86433,99.10223,#N/A
12/6/09,98.86433,99.11892,#N/A
12/7/09,98.86433,99.09926,2189.61
12/8/09,98.86433,99.05005,2172.99
12/9/09,98.86433,99.08427,2183.73
12/10/09,98.86433,99.09461,2190.86
12/11/09,98.86433,99.08031,2190.31
12/12/09,98.86433,99.063,#N/A
12/13/09,98.86433,99.02609,#N/A
12/14/09,98.86433,98.99758,2212.1
12/15/09,98.86433,98.94308,2201.05
12/16/09,98.86433,98.93015,2206.91
12/17/09,98.86433,98.92709,2180.05
12/18/09,98.86433,98.88425,2211.69
12/19/09,98.86433,98.86172,#N/A
12/20/09,98.86433,98.85206,#N/A
12/21/09,98.86433,98.84338,2237.66
12/22/09,98.86433,98.79891,2252.67
12/23/09,98.86433,98.80123,2269.64
12/24/09,98.86433,98.81014,2285.69
12/25/09,98.86433,98.80712,#N/A
12/26/09,98.86433,98.84167,#N/A
12/27/09,98.86433,98.81036,#N/A
12/28/09,98.86433,98.82583,2291.08
12/29/09,98.86433,98.84764,2288.4
12/30/09,98.86433,98.90682,2291.28
12/31/09,98.86433,98.96618,2269.15
1/1/10,98.69022,99.03578,#N/A
1/2/10,98.69022,99.0835,#N/A
1/3/10,98.69022,99.10265,#N/A
1/4/10,98.69022,99.14952,2308.42
1/5/10,98.69022,99.16752,2308.71
1/6/10,98.69022,99.18903,2301.09
1/7/10,98.69022,99.27104,2300.05
1/8/10,98.69022,99.38239,2317.17
1/9/10,98.69022,99.44225,#N/A
1/10/10,98.69022,99.49422,#N/A
1/11/10,98.69022,99.51409,2312.41
1/12/10,98.69022,99.54028,2282.31
1/13/10,98.69022,99.5853,2307.9
1/14/10,98.69022,99.61645,2316.74
1/15/10,98.69022,99.6277,2287.99
1/16/10,98.69022,99.63167,#N/A
1/17/10,98.69022,99.61855,#N/A
1/18/10,98.69022,99.61208,#N/A
1/19/10,98.69022,99.55711,2320.4
1/20/10,98.69022,99.56075,2291.25
1/21/10,98.69022,99.55676,2265.7
1/22/10,98.69022,99.54829,2205.29
1/23/10,98.69022,99.52187,#N/A
1/24/10,98.69022,99.4982,#N/A
1/25/10,98.69022,99.4957,2210.8
1/26/10,98.69022,99.49237,2203.73
1/27/10,98.69022,99.48158,2221.41
1/28/10,98.69022,99.46909,2179
1/29/10,98.69022,99.34045,2147.35
1/30/10,98.69022,99.31205,#N/A
1/31/10,98.69022,99.29047,#N/A
2/1/10,99.02749,99.27301,2171.2
2/2/10,99.02749,99.24696,2190.06
2/3/10,99.02749,99.20384,2190.91
2/4/10,99.02749,99.19189,2125.43
2/5/10,99.02749,99.18602,2141.12
2/6/10,99.02749,99.19509,#N/A
2/7/10,99.02749,99.1663,#N/A
2/8/10,99.02749,99.26916,2126.05
2/9/10,99.02749,99.25861,2150.87
2/10/10,99.02749,99.3058,2147.87
2/11/10,99.02749,99.31353,2177.41
2/12/10,99.02749,99.29006,2183.53
2/13/10,99.02749,99.26678,#N/A
2/14/10,99.02749,99.24712,#N/A
2/15/10,99.02749,99.23279,#N/A
2/16/10,99.02749,99.20619,2214.19
2/17/10,99.02749,99.24609,2226.29
2/18/10,99.02749,99.25792,2241.71
2/19/10,99.02749,99.27419,2243.87
2/20/10,99.02749,99.30187,#N/A
2/21/10,99.02749,99.33363,#N/A
2/22/10,99.02749,99.41586,2242.03
2/23/10,99.02749,99.4318,2213.44
2/24/10,99.02749,99.50804,2235.9
2/25/10,99.02749,99.576,2234.22
2/26/10,99.02749,99.62564,2238.26
2/27/10,99.02749,99.65289,#N/A
2/28/10,99.02749,99.64848,#N/A
3/1/10,99.05217,99.64179,2273.57
3/2/10,99.05217,99.61159,2280.79
3/3/10,99.05217,99.62025,2280.68
3/4/10,99.05217,99.62949,2292.31
3/5/10,99.05217,99.66402,2326.35
3/6/10,99.05217,99.70313,#N/A
3/7/10,99.05217,99.77351,#N/A
3/8/10,99.05217,99.82671,2332.21
3/9/10,99.05217,99.84686,2340.68
3/10/10,99.05217,99.87911,2358.95
3/11/10,99.05217,99.90665,2368.46
3/12/10,99.05217,99.94764,2367.66
3/13/10,99.05217,99.96262,#N/A
3/14/10,99.05217,99.98773,#N/A
3/15/10,99.05217,100.013,2362.21
3/16/10,99.05217,99.99364,2378.01
3/17/10,99.05217,100.024,2389.09
3/18/10,99.05217,100.0422,2391.28
3/19/10,99.05217,100.0674,2374.41
